ID,Crop Name,N (kg/ha),P (kg/ha),K (kg/ha),Temp (°C),Rain (mm),Hum (%),pH,Best Soil Types
2077,Plum,106.9,60.3,95.9,8.17,1110.2,65,6.53,Loamy
2078,Vanilla,96,56.2,94.4,27.64,3164.9,78,6.17,Laterite
2079,Guava,61.7,59.6,77.2,29.87,1451.8,59.8,7.36,Loamy
2080,Pumpkin,64.9,41.5,70.2,32.13,793.5,67.2,6.32,Sandy Loam
2081,Makhana,69.9,55.9,53.7,25.44,2816.5,94.2,6.65,Marshy (Stagnant Water)
2082,Cinnamon,95.5,44.9,97.8,26.36,3206.2,94.2,5.24,Red
2083,Lemongrass,73.5,41.8,42.4,32.04,2024.6,85.3,7.38,Laterite
2084,Green Gram,31.1,48.5,27.5,26.11,772.4,62.3,6.53,Loamy
2085,Black Pepper,148,59,191.1,32.87,2374.4,93.5,5.65,Laterite
2086,Coconut,150.2,300,1,31.55,1772.2,83.3,5.84,Alluvial
2087,Mentha,149.4,59.8,54.7,26.24,1266.8,84.4,7.04,Peaty
2088,Makhana,78.8,54.1,43.2,21.41,2358.1,94.1,6.16,Marshy (Stagnant Water)
2089,Onion,135.2,70.1,108.5,17.03,687.8,72.1,6.35,Alluvial
2090,Pear,141.7,61.3,89.2,14.19,859.9,60.4,6.98,Loamy
2091,Garlic,102.4,57.1,81.7,12.51,627.3,51.5,7.36,Black
2092,Amaranth,66.2,36.4,30.4,29.47,614.1,56.3,7.23,Alluvial
2093,Isabgol,49,38.5,31,17.05,267.3,53.1,7.91,Alluvial
2094,Curry Leaves,76.9,52,60.2,23.37,1410.2,65.1,6.16,Red
2095,Star Anise,67.2,55,54.2,26.43,1935.2,85.8,6.75,Mountain
2096,Watermelon,79.6,72.4,92,33.08,463.4,53.7,6.9,Arid/Desert
2097,Amla,64.7,48,59.7,23.27,770.4,64.1,6.78,Alluvial
2098,Plum,124.3,62.4,119.2,8.81,1196.9,74.9,6.21,Loamy
2099,Spinach,88.1,42.3,57.5,7.93,539.6,74.3,6.48,Loamy
2100,Jowar,84.8,45.4,43,31.03,657.1,41.2,6.41,Alluvial
2101,Custard Apple,47.5,34.5,49.5,33.56,920.8,71.4,7.6,Gravelly
2102,Cotton,114,69.2,50.4,25.34,1189.8,62.7,8.03,Laterite
2103,Watermelon,62.3,72.1,80.6,37.75,533.7,60.2,6.24,Arid/Desert
2104,Gokhru,32.4,29.5,39.6,27.65,445,41.1,7.37,Arid/Desert
2105,Amaranth,63,35.2,34.7,20.44,553.8,52.6,7.19,Alluvial
2106,Banana,203.2,63,221.9,33.6,1733.7,87.9,7.56,Black
2107,Cowpea,35.7,57.1,28.6,29.41,728.9,50.2,7.19,Sandy
2108,Spinach,97.2,59.7,51.7,3.08,689.2,68.4,6.79,Peaty
2109,Chironji,48.5,37.9,32.8,29.36,547.9,54.6,7.36,Laterite
2110,Cashew Nut,67.9,38.4,51.9,33.86,2023.6,65.2,6.33,Laterite
2111,Sweet Potato,73.6,54.7,142.8,31.85,876.6,78.3,6.42,Sandy
2112,Foxtail Millet,51.6,22.8,29.4,25.15,593,43,6.77,Alluvial
2113,Marigold,89.5,77.5,82.9,23.47,953.2,77.8,7.24,Loamy
2114,Carrot,92.1,74,105,12.59,776.9,75.8,6.81,Alluvial
2115,Cauliflower,126.1,85.6,91.3,23.55,618.1,83.1,6.72,Alluvial
2116,Drumstick,66.9,50,58.7,27.71,468.5,50.9,7.52,Sandy
2117,Coconut,86.1,300,1,33.41,2197.3,94,7.99,Alluvial
2118,Star Anise,66.7,48.9,44.5,24.52,1819.2,76.8,6.14,Sub-Montane
2119,Betel Vine,190.8,141.7,121.2,28.78,2010.7,78.6,6.03,Clayey
2120,Pigeon Pea,36,61.9,44.2,32.44,964.5,50.7,6.62,Black
2121,Fenugreek,40.9,43.1,27,24.18,572,59.4,7.27,Alluvial
2122,Shatavari,48.5,55.8,58.3,35.32,776,65.6,6.75,Red
2123,Tobacco,109.2,53.7,106.8,22.68,1098.9,74.4,6.73,Loamy
2124,Khesari,20.1,41.6,25.4,23.7,379,43.4,6.83,Alluvial
2125,Almonds,146.7,92.4,109,-3.44,563.6,52.7,7.18,Mountain
2126,Arecanut,121.2,41.4,149.3,24.18,3191.6,77.4,5.87,Coastal
2127,Soybean,29.3,83.7,43,25.65,962,67.7,6.42,Loamy
2128,Lemongrass,76.4,42,59,31.87,1914.8,70.6,6.23,Red
2129,Rose,124.3,143.4,121.8,18.67,996.8,68.9,6.17,Alluvial
2130,Jasmine,118.8,103.1,117.3,24.42,1811.8,79.5,6.52,Red
2131,Marigold,85.7,87.4,79,18.09,924.1,66.6,6.33,Loamy
2132,Sunflower,91.1,61.2,57.9,28.18,601.6,73.8,7.27,Alluvial
2133,Kodo Millet,37.4,23.2,22.5,23.44,567.8,53.3,7.46,Gravelly
2134,Sugarcane,239.7,107,132.8,28.91,2367.1,73.8,7.21,Black
2135,Mulberry,189.6,145.1,137.5,29.78,1080.1,60.2,7.08,Black
2136,Pigeon Pea,47.4,63,36.7,26.76,956.3,59.3,6.59,Alluvial
2137,Coffee,143.5,59.1,107.3,24.94,1354.2,76.9,6.45,Forest
2138,Pineapple,144.2,58.6,141.2,30.95,1532,83.1,5.26,Red
2139,Muskmelon,68.7,60.4,82.8,29.94,467.4,59.5,7.04,Sandy
2140,Amaranth,62.5,38.5,39.8,28.58,643.5,56.2,7.3,Alluvial
2141,Ridge Gourd,67.9,50,66.9,28.4,798.2,71.1,6.93,Alluvial
2142,Garlic,117.1,56.9,92.9,24.04,600.6,69.4,7.12,Loamy
2143,Oil Palm,164.3,84.8,199,25.16,2742.6,78.2,5.59,Coastal
2144,Dragon Fruit,65.2,49.4,92,34.17,700.4,66.5,6.51,Loamy
2145,Pomegranate,71.6,49.2,81.3,25.52,770.2,49.7,6.93,Loamy
2146,Castor Seed,65.6,47.4,39.1,25.3,817.7,52,6.31,Alluvial
2147,Sesame,47,33.7,36.5,34.49,582.3,43.9,7.5,Alluvial
2148,Hemp (Mesta),77.6,33.9,41.7,23.12,811.9,71.6,6.01,Alluvial
2149,Amla,69.8,59.1,44.4,32.55,714.5,52.3,6.92,Red
2150,Cabbage,140.3,81.7,90.9,25.44,538.8,62.4,6.3,Peaty
2151,Green Gram,26.2,48.9,27.5,33.8,833.6,58.4,7.08,Alluvial
2152,Karakunda,71,41.8,51.8,30.18,1009.3,74.4,7.22,Mountain
2153,Chickpea,23.5,56.6,27.5,21.66,421.9,33.4,6.45,Black
2154,Plum,109.9,73.8,101.1,14.47,1094.1,70.7,6.32,Forest
2155,Maize (Corn),119.6,60.2,51.6,28.15,802.8,60.4,5.95,Loamy
2156,Coriander,63.4,43.4,46.6,15.54,485.1,51,7.46,Black
2157,Star Anise,70.5,58.3,57.8,21.22,2375.3,77.6,6.02,Mountain
2158,Vanilla,80.7,54.6,86.3,27.36,3458,78,5.33,Laterite
2159,Litchi,103.9,78.4,102.3,30.15,1466.4,66.8,6.98,Alluvial
2160,Horse Gram,29,33,26.9,22.36,760.3,48.7,7.07,Sandy
2161,Karakunda,76.3,41.1,42.3,29.06,1436.5,78,6.83,Mountain
2162,Kinnow,127.4,70.6,108.7,22.67,976.9,66.7,7.54,Sandy Loam
2163,Vanilla,97,55,98.6,26.13,2456.2,85.9,5.45,Forest
2164,Cardamom,77.5,87.3,171,20.15,2031.5,83.4,5.04,Red
2165,Sweet Corn,148.2,76.3,42.7,24.93,749.7,79,7.18,Alluvial
2166,Little Millet,33.5,21.1,24.8,29.65,500.5,48.2,6.16,Gravelly
2167,Grapes,101.9,156.1,280.4,30.1,742.1,67.8,7.51,Sandy
2168,Bamboo,131.4,72.7,104.9,27.07,2060.3,80.4,5.8,Laterite
2169,Black Pepper,113.9,55.5,170.5,32.44,2923.4,80.7,6.14,Forest
2170,Avocado,112.9,66.8,117.6,18.08,1160.1,68.6,5,Loamy
2171,Khesari,20.4,41.4,20.9,27.21,372.4,51.5,6.78,Clayey
2172,Buckwheat,42.8,25.4,35.8,13.83,767.3,60,6.03,Forest/Mountain
2173,Niger Seed,53.6,42.8,32.2,18.25,613.4,58.4,7.03,Red
2174,Mentha,142.3,52.4,53.7,28.62,1458.9,78.4,6.51,Alluvial
2175,Lettuce,86.2,54.1,49.3,9.65,483.2,77.8,6.93,Peaty
2176,Vanilla,95.8,42,98.9,29.31,2293.3,78.9,6.15,Laterite
2177,Apple,180.1,130.7,186.8,14.45,882.8,65.3,5.83,Karewa
2178,Proso Millet,37.1,21.9,20.4,31.75,528.7,36.5,6.51,Red
2179,Almonds,175.2,90.2,126.5,-1.18,590,52.7,7.07,Arid
2180,Cluster Bean,20.6,48.2,25,34.71,341.2,54.7,7.88,Arid
2181,Coffee,123.3,42.6,120.4,18.59,2089.2,89.9,5.08,Laterite
2182,Mentha,126,53.6,54.4,27.14,1285.9,66.9,7,Peaty
2183,Makhana,69.2,50.1,54.3,24.88,2948.8,81.2,7.15,Peaty
2184,Wood Apple,52.6,36.9,54.4,25.44,983.4,53.2,7.49,Alluvial
2185,Niger Seed,53,59.2,37.2,28.62,863.5,57.1,5.68,Gravelly
2186,Apricot,133.3,66.4,86.3,15.77,745.5,69.1,6.12,Mountain
2187,Cinnamon,85.9,48.7,89.8,26.03,2797.9,87.8,5.53,Laterite
2188,Maize (Corn),145.6,70,53.3,24.25,804.7,52.2,7.03,Forest
2189,Hemp (Mesta),63,36.3,47.9,28.55,653.4,70.5,5.95,Alluvial
2190,Spinach,89.9,47.9,47.9,5.73,415.7,67.5,6.95,Alluvial
2191,Fennel,90,47,55.7,19.52,560.4,56.5,7.95,Alluvial
2192,Nutmeg,94.9,42.4,99.1,23.68,2825.8,77.5,6.73,Red
2193,Plum,119.4,66.2,84.3,22.01,792.5,67.8,5.92,Forest
2194,Turmeric,118.8,65.9,147.5,20.4,2619.8,71.4,5.72,Red
2195,Turmeric,104.2,64,116.6,29.46,2355.3,83.8,5.76,Laterite
2196,Pomegranate,82.5,56.3,99.9,23.49,809.8,53.1,6.95,Sandy
2197,Betel Vine,172.7,102.7,144.2,23.94,1532.5,80.6,6.61,Red
2198,Black Pepper,100.8,55.8,151.3,30.78,2402,93.4,5.92,Laterite
2199,Moth Beans,21.3,30.5,15.1,36.8,405.6,30.4,7.56,Arid/Desert
2200,Sunflower,90.2,72.4,45.5,20.39,764.7,71.8,6.73,Alluvial
2201,Amla,60.7,45.2,48.6,26.89,839.9,62.8,8.06,Alluvial
2202,Marigold,83.5,78.8,75.5,23.07,703.6,75.1,6.34,Red
2203,Plum,137.9,64.2,102.5,14.76,1034.4,73.9,6.51,Mountain
2204,Rajma,82.8,73.2,52.5,16.55,960,70.5,6.47,Alluvial
2205,Vanilla,88.3,59.7,84.9,27.69,3046.8,76.3,5.53,Laterite
2206,Ashwagandha,49.9,45.9,34.3,37.78,608,60.2,8.33,Black
2207,Ber,57,41.3,52.1,30.1,551.1,49.7,7.65,Sandy
2208,Lettuce,94.8,53.5,57.9,5.55,652.1,73.5,6.46,Peaty
2209,Aloe Vera,30.8,37.1,39,30.58,307.4,36.5,8.46,Saline
2210,Bamboo,155.6,69.6,114.5,26.59,1731.5,78.5,5.01,Forest
2211,Turmeric,134.3,70.8,112.3,22.34,2393.3,80.4,6.24,Laterite
2212,Avocado,127.5,61.7,115.8,27.56,1189,79,6.17,Loamy
2213,Chickpea,21.4,58.8,21.6,16.14,422.6,33.5,6.09,Alluvial
2214,Mace,71.2,44,102.5,28.73,3165.7,87.6,6.37,Red
2215,Chironji,41.5,38.6,40.7,29.4,663.6,47.3,6.41,Laterite
2216,Cluster Bean,25.3,59,23.3,29.78,334.3,47.8,7.13,Arid
2217,Cotton,127.9,63.9,71.9,29.04,1170.7,64.7,7.2,Laterite
2218,Wheat,117.5,56.8,52.3,19.39,642.6,58,7.33,Black
2219,Star Anise,65.1,50,59.7,27.85,1501.8,83.1,6.75,Forest
2220,Clove,86.3,51.4,88.2,28.04,2708.9,87.4,5.45,Coastal
2221,Chili,117.5,66.1,71.6,22.23,1141.2,73,6.14,Loamy
2222,Karakunda,69.1,55.2,42.8,31.49,1980.7,76.3,7.29,Mountain
2223,Betel Vine,181.8,130.3,126.8,24.44,1705.4,82.6,6.28,Alluvial
2224,Rubber,92.5,57.7,100.5,25.86,2897.4,90.4,4.76,Red
2225,Dragon Fruit,65.1,48.8,86,29.17,1146.5,62.1,6.14,Loamy
2226,Okra,118.9,53.4,57.1,28.67,782,70.9,7.14,Loamy
2227,Mango,123,54.5,125.1,29.05,1410.9,56.9,6.85,Alluvial
2228,Kodo Millet,36.5,20.8,20.2,27.18,434.2,53,7.03,Gravelly
2229,Coconut,280.1,300,1,27.06,1003,82.4,6.84,Coastal
2230,Safflower,56.8,55.1,23.3,26.96,548.3,36.9,6.4,Black
2231,Kinnow,104.8,54.7,108.4,23.91,938.3,56.5,6.61,Alluvial
2232,Chili,102.6,79.2,66.6,28,627,73.4,6.89,Loamy
2233,Capsicum,101.1,83.4,104.1,21.67,795.9,71,6.07,Loamy
2234,Mulberry,287.6,130,132.7,28.12,853.3,75.1,6.81,Alluvial
2235,Cabbage,133.4,80.4,84.2,17.03,824.6,60.9,6.5,Alluvial
2236,Apple,172.3,143.4,164.5,10.4,1085,72.4,5.89,Forest
2237,Wheat,126.7,66.5,40.7,23.78,749,56.4,6.39,Alluvial
2238,Cabbage,126.9,95.7,82.2,25.12,716.9,74.7,6.2,Alluvial
2239,Rice (Paddy),86.3,42.1,45,21.76,1251.8,89.4,6.63,Alluvial
2240,Turmeric,127.8,71.9,126.1,27.98,2038.7,80.8,7.48,Red
2241,Tea,148.6,39.5,87.8,28.65,2767.9,81.9,5.16,Forest
2242,Tea,157.2,41,73,29.22,2735.3,91.3,4.8,Laterite
2243,Saffron,82.1,58.3,77.6,10.86,532.4,42.8,7.78,Karewa Soil
2244,Mushrooms,11.4,5.7,6.8,19.51,0,93,7.22,Peaty/Organic Waste
2245,Walnuts,167.4,119.9,123.5,-6.64,1153.6,56.2,6.94,Karewa
2246,Mentha,120.1,54.3,57.7,26.87,1440.5,83.6,6.67,Loamy
2247,Soybean,38.4,63,50.8,25.08,829.2,62,6.53,Alluvial
2248,Dragon Fruit,75,57.1,98.6,32.73,957.6,59.5,5.96,Loamy
2249,Coconut,421.9,300,1,27.15,1074.6,80.1,6.13,Alluvial
2250,Makhana,72.3,40.7,50.4,28.87,2283.1,82.8,7.24,Peaty
2251,Pear,131.7,76.2,104.2,23.29,1114.5,61.2,6.08,Loamy
2252,Jackfruit,99.1,60,101.3,22.68,2120.8,69.9,6.12,Laterite
2253,Almonds,156.9,94.7,111.4,6.6,793.7,61.8,7.81,Mountain
2254,Safflower,59.2,55.8,26.1,29.58,676.4,46.2,7.53,Black
2255,Sweet Corn,142.8,61.8,58.9,22.02,941.7,63.8,5.97,Alluvial
2256,Bitter Gourd,68.3,59.3,61.6,34.11,816.6,59,6.93,Alluvial
2257,Kalmegh,49,32.9,30.1,21.64,1423.7,77.7,6.91,Alluvial
2258,Custard Apple,55,30.7,52,21.99,627.1,67.2,6.13,Sandy
2259,Cumin,56.8,28.3,28.8,21.98,395.7,43.2,8.04,Sandy Loam
2260,Bajra,67.9,37,37.2,33.39,387.7,37.6,7.52,Arid/Desert
2261,Custard Apple,55.2,48.6,58.4,25.34,701,72.6,6.68,Gravelly
2262,Cherry,140.5,90.2,144.6,13.4,989.4,77.3,6.36,Mountain
2263,Wood Apple,49.8,32.9,47.2,26.11,919.4,46.9,6.97,Red
2264,Kalmegh,55.8,43.8,32.9,30.33,1477.1,70.6,6.65,Red
2265,Cashew Nut,60.5,35.5,52.8,32.19,2084,70.7,5.02,Coastal
2266,Spinach,86.3,46,40.6,12.51,646.1,69,7.49,Loamy
2267,Groundnut,32.8,67.7,61.3,23,876.9,51.5,6.46,Red
2268,Coffee,121.8,52.8,135.3,22.32,1695.4,85,5.21,Red
2269,Jute,91.2,45.3,59.4,32.53,1360.7,85.9,6.03,Alluvial
2270,Cotton,112.3,57.7,69.8,23.79,1162.5,45,6.95,Alluvial
2271,Coriander,75.4,46.5,46.6,18.22,460.4,66,7.9,Black
2272,Rice (Paddy),119.7,45.4,51.4,31.1,1778.8,84,5.53,Peaty/Marshy
2273,Soybean,38.6,62.6,52.4,30.66,694.4,72.9,6.95,Alluvial
2274,Vanilla,94.2,40.6,81.7,22.08,3009.2,87.4,6.07,Laterite
2275,Date Palm,116.1,52.8,92.1,38.67,291.6,30.4,8.08,Arid/Desert
2276,Popcorn,148.7,77,55.5,20.25,878,65.7,5.93,Loamy
2277,Wheat,101.4,51.1,47.6,10.71,639.5,46.2,6.37,Alluvial
2278,Pear,137.2,66.7,91.2,2.46,1166.7,66,6.45,Loamy
2279,Bajra,68.7,31.8,34.3,32.84,592.5,35.8,7.13,Sandy
2280,Banana,153.2,84.3,212.4,35.37,2525.1,81.6,7.31,Alluvial
2281,Black Pepper,106.7,53,189.4,31.2,2378.3,75.1,5.01,Red
2282,Khesari,16.7,46.2,29.2,20.6,375.3,44.7,7.32,Clayey
2283,Rose,142.8,125.8,142.8,17.47,818.4,77.6,6.51,Red
2284,Bajra,78.2,32.3,34.8,33.7,384.5,51.2,7.31,Alluvial
2285,Rubber,101.5,63.1,91.1,28.99,2789.7,94.7,5.26,Forest
2286,Litchi,109.6,67.9,91.5,26.76,1473.2,73.7,6.39,Loamy
2287,Avocado,116.7,76.4,133.7,29.38,1554.3,68.7,6.9,Laterite
2288,Green Gram,29.9,49.6,28.3,31.73,600.1,67.8,6.65,Alluvial
2289,Black Gram,37.1,43.4,29.7,29.98,901.6,62.4,7.11,Loamy
2290,Bitter Gourd,76.1,40.6,76.7,32.02,506.9,58,6.14,Red
2291,Sapota,97.7,71.3,96.2,32.71,1378.2,77.9,7.72,Coastal
2292,Khesari,23.9,48.9,28.4,15.91,381.3,53.3,7.87,Alluvial
2293,Castor Seed,73.5,42,20.9,28.98,763.1,57,7.41,Red
2294,Chickpea,22.8,48.4,24,20.55,592.3,46,6.77,Loamy
2295,Wheat,140,51,52.8,21.76,663.5,57.9,7.34,Black
2296,Apple,187.1,131.8,184.2,19.6,888.6,54.5,6.71,Mountain
2297,Ragi,66.9,38.8,39.3,25.09,871.4,68.5,7.02,Loamy
2298,Coffee,113.2,41.1,116.8,24.38,1504.2,86.7,5.06,Laterite
2299,Mentha,140.6,52,56.3,31.9,1468.1,83.5,6.38,Alluvial
2300,Ash Gourd,79.5,48.3,75.6,26.91,545.6,65.4,7.16,Alluvial
2301,Niger Seed,40.5,50.6,34.7,25.09,873.9,54.7,5.57,Laterite
2302,Bajra,72,35.6,31.9,32.71,400.5,41.4,6.91,Alluvial
2303,Rubber,107.4,68.5,82.9,31.24,3036.9,86.7,5.84,Forest
2304,Sunn Hemp,22.2,56.9,38.1,29.18,852.4,67.2,6.72,Loamy
2305,Mulberry,225.3,129.1,125.1,23.8,754.6,70.9,6.24,Black
2306,Walnuts,155.5,94.9,111.7,16.51,1133,60.2,6.6,Mountain
2307,Tobacco,117.9,57.2,113.7,21.06,1064.1,78.7,6.69,Alluvial
2308,Walnuts,177,119.8,137.2,2.78,866.9,54.6,6.23,Forest
2309,Aloe Vera,36.9,31.7,31.4,28.94,259.2,42.7,7.45,Saline
2310,Coriander,70.8,48.5,47.5,23.4,753.5,50.3,6.66,Loamy
2311,Turmeric,122.9,51.1,113.9,28.18,1847.4,79.8,7.03,Alluvial
2312,Fenugreek,56.4,51.6,35.4,15.55,784,65.1,6.05,Loamy
2313,Khesari,17.6,40.2,29.1,20.66,405,45.3,6.52,Clayey
2314,Barnyard Millet,30.5,24.8,23.7,23.97,514.7,48.5,6.04,Red
2315,Vanilla,97.8,40.3,81.8,29.89,2741.8,81,5.54,Laterite
2316,Jackfruit,111.3,41,98.9,30.27,1547.7,81.2,5.6,Laterite
2317,Oats,91,46.4,42.8,24.38,702,67.1,5.6,Alluvial
2318,Castor Seed,76.3,47.1,30,25.12,886.1,50.1,7.5,Sandy Loam
2319,Amla,77.4,53.1,40.7,25.52,892.3,63.9,8.11,Alluvial
2320,Star Anise,76.9,46.3,52.2,29.03,2170.5,77.6,5.85,Mountain
2321,Lemongrass,78.1,42.1,41.4,25.76,1516.2,80.8,6.22,Laterite
2322,Sugarcane,228.3,90.6,109.7,25.93,1937,81.4,6.54,Alluvial
2323,Capsicum,117.4,84.5,100.8,21.4,819.5,75.8,6.03,Forest
2324,Pineapple,125.8,52,108.5,21.87,1671.6,84,4.92,Forest
2325,Cinnamon,97.7,56.3,83.9,28.24,2813.7,89.3,5.69,Red
2326,Maize (Corn),101.7,68.3,44.8,30.92,535.8,66.9,6.8,Forest
2327,Kiwi,133.9,77.3,124.3,7.81,1234.2,69.4,5.91,Mountain
2328,Garlic,104.7,59.1,84.5,14.93,731.6,51.8,6.59,Black
2329,Drumstick,63.6,55.3,53.1,32.42,453.3,56.9,6.1,Red
2330,Marigold,70,74.3,84.7,28.81,624.2,63.6,7.38,Loamy
2331,Gokhru,37.1,36,32.7,22.71,586.3,43.2,7.17,Sandy
2332,Ashwagandha,34.6,49,21.6,29.81,796.6,60.8,7.54,Red
2333,Sapota,92.1,60.7,94.6,33.24,1826.4,83.3,6.84,Alluvial
2334,Coriander,74.5,44.5,49.4,26.7,681.4,62.8,7.18,Loamy
2335,Rose,123.3,135,125.9,22.29,829.2,64.9,6.83,Loamy
2336,Hemp (Mesta),69.1,47.7,52.3,32.98,887.4,74.9,6.48,Laterite
2337,Brinjal,143.4,70.1,83.4,23.49,792.5,64.1,6.8,Alluvial
2338,Jasmine,117.7,103.7,101.8,32.88,1508.4,79.2,7.31,Alluvial
2339,Apple,179,137.4,181,21.7,1058.3,63.6,6.05,Karewa
2340,Groundnut,36.6,59.1,68.3,20.02,558.1,57.8,6.59,Red
2341,Marigold,81.5,82.5,64.7,24.08,657.6,71.1,6.51,Alluvial
2342,Cardamom,83.1,87.9,185.1,25.15,2014.3,92.4,5.25,Laterite
2343,Turmeric,104.5,66.9,135.6,31.5,2298.3,76.5,6.33,Laterite
2344,Green Gram,23.5,41.6,25.4,27.8,783.7,52.2,7.46,Loamy
2345,Gokhru,36.6,36.5,38.3,30.84,514.6,55,7.81,Sandy
2346,Kiwi,123.9,75.5,117.4,4.37,1069.3,66.9,5.99,Forest
2347,Pigeon Pea,47.4,71.5,29.8,34.04,671.1,50.6,6.93,Black
2348,Mango,103.7,58.3,149.6,28.09,1571.1,72.7,6.98,Laterite
2349,Cherry,144.8,86.1,117.9,4.22,1116.2,66.8,6.81,Karewa
2350,Custard Apple,53.6,39.2,44.5,24.02,883,67.7,7.75,Gravelly
2351,Bottle Gourd,74.7,45.2,80,26.95,690.5,61.6,7.1,Alluvial
2352,Shatavari,48,50.2,56.4,28.72,614.3,60.6,7.13,Red
2353,Cashew Nut,78.1,31.7,49.4,30.64,2030.6,82.7,6.14,Coastal
2354,Brinjal,104.3,63.5,71.6,20.68,736.5,60.2,6.62,Black
2355,Brinjal,123.2,50.1,72.2,24.82,657.5,74.9,6.73,Alluvial
2356,Kiwi,126.6,74.9,140.6,20.64,1195.1,74.4,6.31,Sub-Montane
2357,Jasmine,104.6,116.6,117.5,31.33,1480.7,84.7,7.47,Red
2358,Ashwagandha,30.1,42.8,23.4,22.51,530,50.7,7.57,Sandy Loam
2359,Rice (Paddy),91.4,56.6,48.5,24.07,1778.8,80.8,5.53,Clayey
2360,Kodo Millet,37.1,20.3,22.3,27.71,404.5,53.2,6.14,Red
2361,Barnyard Millet,37.6,22.4,23,27.21,718,41.5,6.26,Forest
2362,Wood Apple,58.7,30.4,45.7,26.49,749.2,61.7,8.26,Red
2363,Chickpea,28.9,49.1,23,19.18,594.8,45.1,7.52,Black
2364,Cowpea,27.7,42,37.6,26.09,823.3,51.4,6.51,Red
2365,Pear,139.2,79.5,96.2,8.99,1057.6,62.8,6.47,Mountain
2366,Wheat,123.5,56.5,52.4,16.91,649.2,45.1,6.87,Alluvial
2367,Ber,58.7,39.3,46.1,26.08,553.3,42.7,8.64,Arid
2368,Stevia,95.6,73.8,76.7,15.62,1740.7,78.3,6.16,Loamy
2369,Little Millet,37.2,20.6,21,29.14,400.4,57,7.26,Gravelly
2370,Kodo Millet,32.3,21.6,24,28.62,461.2,48.2,7.4,Red
2371,Carrot,83.9,89,101.2,23.46,558.8,77.4,6.82,Sandy Loam
2372,Mango,145.1,77.3,141.5,24.48,1288.2,67.3,6.66,Alluvial
2373,Proso Millet,35.4,20.9,22.4,27.19,467.7,50.4,6.21,Red
2374,Spinach,90.2,51.1,53.6,21.62,692.6,64.1,6.82,Loamy
2375,Proso Millet,34.7,24.3,21.5,20.46,504.5,49.8,6.17,Sandy
2376,Cotton,128.3,69.9,68.6,23.78,511.7,54.7,7.38,Laterite
2377,Mentha,139.1,58.1,54.6,21.3,1459.9,77.7,7.1,Loamy
2378,Tulsi,78.3,47.1,42.6,33.09,985.9,70.4,6.61,Alluvial
2379,Moth Beans,15.9,31.2,19.1,33.29,383.8,49,7.27,Sandy
2380,Aloe Vera,30,21.9,39.5,31.65,300.7,30.6,8.44,Saline
2381,Mustard,95.2,50,39.2,10.84,669.4,54.5,6.58,Loamy
2382,Vanilla,94.2,56.2,93.4,25.39,2203.7,94.1,5.99,Laterite
2383,Curry Leaves,61,46.2,60.3,30.42,1452.7,67,6.87,Red
2384,Isabgol,55.9,32.2,38.8,18.12,369.6,53.1,7.49,Sandy Loam
2385,Tulsi,63.3,43.7,40.1,22.93,1259,63,6.95,Alluvial
2386,Amaranth,64.9,31.4,34.3,23.72,716.2,63.3,7.45,Red
2387,Apricot,125.1,62,119.4,23.82,683.2,59,6.61,Karewa
2388,Cinnamon,96.8,51.1,90.6,21.49,2231.6,75.5,5.28,Red
2389,Bottle Gourd,67.1,48,78.3,34.5,888.5,72.1,6.82,Sandy Loam
2390,Coffee,128.7,42.6,107,24.33,1974.6,89.9,5.72,Laterite
2391,Tobacco,115.8,62.8,138.7,22.63,1075.5,66.1,5.85,Alluvial
2392,Litchi,129.2,60.5,117.2,27.44,1646,73.3,6.9,Alluvial
2393,Marigold,84.6,73.3,70.3,28.57,750.1,66,7.04,Red
2394,Aloe Vera,39.5,35.7,20.4,20.61,272,37.1,7.8,Arid
2395,Rubber,100.7,64.4,112.6,30.43,2090.9,78.7,5.04,Forest
2396,Cardamom,80.5,99.2,177.4,23.92,2287.8,81.3,6.46,Laterite
2397,Clove,85.7,41.7,93,28.17,2629.2,81.4,5.44,Red
2398,Kalmegh,49.3,36.9,42.6,31.25,1940,75.8,6.42,Alluvial
2399,Okra,103.1,56.6,55.5,31.47,806.1,76.4,6.48,Alluvial
2400,Guava,62.7,44.5,73.3,32.24,1122.5,71.8,7.33,Red
2401,Pineapple,134.3,51.6,134.3,29.85,1834.9,82.8,4.51,Laterite
2402,Mango,127,78.1,105.2,25.4,1058.4,70.6,7.45,Loamy
2403,Soybean,35.2,78.8,46.9,27.94,797.1,71.6,6.04,Black
2404,Fenugreek,56.9,50.5,38.9,18.87,771.3,59.3,6.95,Loamy
2405,Fennel,81.4,41.3,45,25.76,627.1,62,6.57,Saline
2406,Jowar,92.3,48.1,46.4,29.52,401,54.1,6.03,Loamy
2407,Watermelon,76.6,72.2,99.2,37.23,433.7,64.3,6.43,Arid/Desert
2408,Brahmi,78.6,45.7,48.8,25.59,2949.1,86,6.51,Peaty/Marshy
2409,Gokhru,27,35.8,29.7,35.67,487,46.8,7.45,Sandy
2410,Litchi,127.9,71.3,83.3,29.92,1383.4,80.1,6.33,Alluvial
2411,Foxtail Millet,50.4,29.5,26.6,28.8,561,46.7,7.27,Alluvial
2412,Tobacco,106.8,63.1,115.4,28.65,1018.1,70.5,6.07,Loamy
